KUNNR	HKUNNR
0000102037	0009000035
0000102038	0009000036
0000102039	0009000037
0000102040	0009000076
0000102041	0009000038
0000102042	0009000039
0000102043	0009000040
0000102044	0009000041
0000102045	0009000042
0000102046	0009000043
0000102047	0009000044
0000102048	0009000045
0000102049	0009000046
0000102051	0009000047
0000102052	0009000048
0000102054	0009000049
0000102055	0009000050
0000102056	0009000051
0000102057	0009000052
0000102058	0009000053
0000102059	0009000076
0000102060	0009000054
0000102061	0009000055
0000102062	0009000052
0000102063	0009000057
0000102064	0009000058
0000102065	0009000059
0000102066	0009000060
0000102067	0009000061
0000102068	0009000062
0000102069	0009000063
0000102070	0009000064
0000102071	0009000065
0000102072	0009000066
0000102073	0009000067
0000102074	0009000068
0000102075	0009000069
0000102076	0009000070
0000102077	0009000071
0000102078	0009000072
0000102079	0009000073
0000102080	0009000131
0000102081	0009000074
0000102082	0009000075
0000102083	0009000076
0000102084	0009000077
0000102086	0009000078
0000102087	0009000079
0000102088	0009000080
0000102089	0009000081
0000102090	0009000082
0000102091	0009000083
0000102092	0009000084
0000102093	0009000085
0000102094	0009000086
0000102095	0009000087
0000102096	0009000088
0000102097	0009000089
0000102098	0009000135
0000102100	0009000091
0000102104	0009000092
0000102105	0009000077
0000102106	0009000094
0000102108	0009000095
0000102109	0009000096
0000102110	0009000097
0000102111	0009000098
0000102112	0009000099
0000102113	0009000100
0000102114	0009000101
0000102115	0009000102
0000102116	0009000103
0000102117	0009000104
0000102118	0009000105
0000102119	0009000106
0000102120	0009000107
0000102121	0009000108
0000102122	0009000109
0000102123	0009000109
0000102124	0009000111
0000102125	0009000112
0000102126	0009000113
0000102127	0009000114
0000102128	0009000115
0000102129	0009000116
0000102130	0009000117
0000102131	0009000118
0000102132	0009000119
0000102133	0009000120
0000102134	0009000121
0000102135	0009000122
0000102136	0009000123
0000102137	0009000124
0000102138	0009000125
0000102139	0009000126
0000102140	0009000127
0000102141	0009000128
0000102143	0009000185
0000102144	0009000130
0000102145	0009000131
0000102146	0009000135
0000102147	0009000133
0000102148	0009000141
0000102149	0009000133
0000102150	0009000148
0000102151	0009000149
0000102152	0009000130
0000102153	0009000150
0000102154	0009000151
0000102155	0009000152
0000102156	0009000153
0000102157	0009000154
0000102158	0009000155
0000102159	0009000156
0000102160	0009000157
0000102161	0009000158
0000102162	0009000159
0000102163	0009000160
0000102164	0009000161
0000102165	0009000162
0000102166	0009000163
0000102170	0009000167
0000102171	0009000168
0000102172	0009000169
0000102173	0009000170
0000102174	0009000171
0000102175	0009000172
0000102176	0009000173
0000102177	0009000174
0000102178	0009000175
0000102179	0009000176
0000102180	0009000177
0000102181	0009000178
0000102182	0009000179
0000102183	0009000164
0000102184	0009000165
0000102185	0009000166
0000102195	0009000130
0000102196	0009000059
0000102197	0009000033
0000102198	0009000084
0000102199	0009000076
0000102202	0009000195
0000102203	0009000195
0000102290	0009000290
0000102660	0009000050
0000103063	0009000076
0000103160	0009000007
0000103500	0009000051
0000103616	0009000076
0000103705	0009000119
0000103772	0009000076
0000103845	0009000020
0000103926	0009000076
0000103934	0009000076
0000104000	0009000109
0000104001	0009000075
0000104002	0009000075
0000104003	0009000051
0000104004	0009000130
0000104005	0009000084
0000104006	0009000084
0000104007	0009000052
0000104008	0009000084
0000104009	0009000084
0000104010	0009000084
0000104011	0009000027
0000104012	0009000107
0000104013	0009000084
0000104014	0009000130
0000104015	0009000084
0000104016	0009000084
0000104017	0009000084
0000104018	0009000135
0000104019	0009000135
0000104020	0009000084
0000104021	0009000084
0000104022	0009000084
0000104023	0009000135
0000104024	0009000310
0000104025	0009000084
0000104026	0009000148
0000104027	0009000084
0000104028	0009000084
0000104029	0009000084
0000104030	0009000075
0000104031	0009000050
0000104033	0009000084
0000104034	0009000084
0000104035	0009000084
0000104036	0009000147
0000104037	0009000084
0000104038	0009000084
0000104039	0009000066
0000104040	0009000084
0000104041	0009000075
0000104042	0009000018
0000104043	0009000018
0000104044	0009000048
0000104045	0009000148
0000104046	0009000148
0000104047	0009000050
0000104048	0009000050
0000104049	0009000050
0000104050	0009000052
0000104051	0009000050
0000104052	0009000084
0000104053	0009000084
0000104054	0009000035
0000104055	0009000035
0000104056	0009000035
0000104057	0009000035
0000104058	0009000035
0000104059	0009000035
0000104060	0009000033
0000104061	0009000027
0000104062	0009000033
0000104063	0009000050
0000104064	0009000059
0000104065	0009000084
0000104066	0009000109
0000104067	0009000084
0000104068	0009000066
0000104069	0009000084
0000104070	0009000084
0000104071	0009000135
0000104072	0009000149
0000104073	0009000084
0000104074	0009000050
0000104075	0009000052
0000104076	0009000147
0000104077	0009000066
0000104078	0009000084
0000104079	0009000084
0000104080	0009000084
0000104081	0009000050
0000104082	0009000084
0000104083	0009000084
0000104084	0009000084
0000104085	0009000050
0000104086	0009000083
0000104087	0009000147
0000104088	0009000135
0000104089	0009000084
0000104090	0009000147
0000104091	0009000147
0000104092	0009000147
0000104093	0009000147
0000104094	0009000083
0000104095	0009000147
0000104096	0009000147
0000104097	0009000147
0000104098	0009000147
0000104099	0009000066
0000104100	0009000051
0000104102	0009000084
0000104103	0009000084
0000104104	0009000051
0000104105	0009000084
0000104107	0009000190
0000104108	0009000149
0000104110	0009000051
0000104111	0009000147
0000104112	0009000033
0000104113	0009000084
0000104114	0009000050
0000104115	0009000084
0000104116	0009000109
0000104117	0009000133
0000104118	0009000050
0000104119	0009000135
0000104120	0009000109
0000104122	0009000084
0000104123	0009000190
0000104124	0009000149
0000104125	0009000084
0000104126	0009000109
0000104127	0009000050
0000104128	0009000047
0000104129	0009000050
0000104130	0009000084
0000104132	0009000047
0000104134	0009000084
0000104135	0009000225
0000104137	0009000084
0000104138	0009000050
0000104139	0009000190
0000104140	0009000130
0000104141	0009000109
0000104143	0009000050
0000104144	0009000149
0000104145	0009000149
0000104146	0009000084
0000104147	0009000122
0000104148	0009000084
0000104151	0009000109
0000104152	0009000109
0000104153	0009000109
0000104154	0009000084
0000104155	0009000190
0000104157	0009000109
0000104158	0009000149
0000104159	0009000049
0000104160	0009000109
0000104161	0009000084
0000104166	0009000084
0000104167	0009000185
0000104168	0009000109
0000104170	0009000147
0000104171	0009000084
0000104172	0009000190
0000104173	0009000066
0000104176	0009000149
0000104180	0009000130
0000104181	0009000130
0000104182	0009000130
0000104183	0009000027
0000104184	0009000210
0000104185	0009000230
0000104186	0009000230
0000104187	0009000230
0000104188	0009000230
0000104189	0009000050
0000104190	0009000190
0000104191	0009000050
0000104192	0009000027
0000104193	0009000205
0000104196	0009000084
0000104198	0009000230
0000104200	0009000230
0000104202	0009000084
0000104203	0009000135
0000104204	0009000033
0000104206	0009000084
0000104207	0009000190
0000104208	0009000059
0000104209	0009000205
0000104210	0009000027
0000104211	0009000084
0000104212	0009000050
0000104213	0009000109
0000104214	0009000084
0000104216	0009000018
0000104217	0009000097
0000104218	0009000147
0000104219	0009000050
0000104221	0009000109
0000104222	0009000084
0000104223	0009000190
0000104224	0009000084
0000104225	0009000205
0000104226	0009000042
0000104228	0009000120
0000104229	0009000047
0000104231	0009000109
0000104233	0009000135
0000104234	0009000052
0000104238	0009000050
0000104239	0009000190
0000104240	0009000084
0000104241	0009000205
0000104242	0009000130
0000104243	0009000084
0000104244	0009000027
0000104246	0009000084
0000104251	0009000084
0000104253	0009000130
0000104254	0009000033
0000104255	0009000190
0000104257	0009000205
0000104258	0009000084
0000104259	0009000084
0000104260	0009000027
0000104264	0009000109
0000104265	0009000084
0000104270	0009000190
0000104271	0009000190
0000104272	0009000135
0000104273	0009000205
0000104275	0009000018
0000104277	
0000104278	0009000112
0000104279	0009000049
0000104281	0009000084
0000104283	0009000271
0000104284	0009000271
0000104285	0009000011
0000104286	0009000011
0000104287	0009000190
0000104288	0009000190
0000104289	0009000135
0000104290	0009000205
0000104292	0009000018
0000104293	0009000033
0000104294	0009000230
0000104295	0009000230
0000104296	0009000230
0000104297	0009000230
0000104298	0009000230
0000104299	0009000011
0000104300	0009000011
0000104301	0009000011
0000104302	0009000011
0000104303	0009000190
0000104304	0009000190
0000104305	0009000084
0000104306	0009000205
0000104307	0009000149
0000104309	0009000033
0000104310	0009000011
0000104311	0009000011
0000104312	0009000011
0000104313	0009000011
0000104314	0009000011
0000104315	0009000011
0000104316	0009000011
0000104317	0009000011
0000104318	0009000011
0000104319	0009000190
0000104320	0009000190
0000104321	0009000084
0000104322	0009000205
0000104323	0009000149
0000104324	0009000109
0000104325	0009000033
0000104326	0009000109
0000104329	0009000084
0000104331	0009000210
0000104332	0009000135
0000104333	0009000011
0000104334	0009000084
0000104336	0009000190
0000104337	0009000190
0000104338	0009000084
0000104339	0009000205
0000104340	0009000050
0000104342	0009000084
0000104343	0009000084
0000104344	0009000084
0000104346	0009000130
0000104347	0009000033
0000104348	0009000075
0000104349	0009000225
0000104350	0009000109
0000104351	0009000109
0000104352	0009000190
0000104353	0009000084
0000104354	0009000190
0000104355	0009000151
0000104356	0009000084
0000104357	0009000050
0000104358	0009000084
0000104361	0009000084
0000104362	0009000059
0000104364	0009000084
0000104365	0009000084
0000104367	0009000052
0000104368	0009000052
0000104369	0009000190
0000104370	0009000190
0000104371	0009000151
0000104372	0009000073
0000104373	0009000109
0000104374	0009000084
0000104375	0009000052
0000104376	0009000051
0000104377	0009000052
0000104378	0009000052
0000104379	0009000052
0000104380	0009000052
0000104381	0009000052
0000104382	0009000052
0000104383	0009000052
0000104384	0009000052
0000104385	0009000190
0000104386	0009000190
0000104387	0009000151
0000104389	0009000109
0000104390	0009000109
0000104391	0009000047
0000104392	0009000052
0000104393	0009000052
0000104394	0009000052
0000104395	0009000052
0000104398	0009000052
0000104399	0009000147
0000104400	0009000027
0000104401	0009000190
0000104402	0009000190
0000104403	0009000151
0000104404	0009000051
0000104405	0009000033
0000104406	0009000149
0000104407	0009000052
0000104408	0009000027
0000104409	0009000109
0000104411	0009000115
0000104412	0009000084
0000104413	0009000084
0000104414	0009000084
0000104415	0009000021
0000104416	0009000109
0000104417	0009000190
0000104418	0009000190
0000104419	0009000151
0000104420	0009000051
0000104422	0009000135
0000104423	0009000049
0000104424	0009000185
0000104425	0009000185
0000104428	0009000084
0000104429	0009000027
0000104432	0009000240
0000104433	0009000190
0000104434	0009000190
0000104435	0009000151
0000104436	0009000084
0000104437	0009000109
0000104438	0009000135
0000104439	0009000084
0000104440	0009000240
0000104441	0009000240
0000104442	0009000051
0000104443	0009000240
0000104444	0009000240
0000104445	0009000047
0000104446	0009000240
0000104447	0009000240
0000104448	0009000047
0000104449	0009000050
0000104450	0009000190
0000104451	0009000190
0000104452	0009000151
0000104453	0009000084
0000104455	0009000102
0000104456	0009000084
0000104458	0009000109
0000104460	0009000082
0000104461	0009000082
0000104466	0009000190
0000104467	0009000084
0000104468	0009000151
