KUNNR,SALES_AREA_KUNNR,HKUNNR,SALES_AREA_HKUNNR
0000100685,00201010,0000557900,00201010
0000100686,00201010,0000550612,00201010
0000100687,00201010,0000550999,00201010
0000100689,00201010,0000588199,00201010
0000100690,00201010,0000556004,00201010
0000100691,00201010,0000550025,00201010
0000100692,00201010,0000550126,00201010
0000100696,00201010,0000579718,00201010
0000100697,00201010,0000572675,00201010
0000100698,00201010,0000500036,00201010
0000100699,00201010,0000556018,00201010
0000100700,00201010,0000500037,00201010
0000100701,00201010,0000550612,00201010
0000100702,00201010,0000500038,00201010
0000100703,00201010,0000500038,00201010
0000100704,00201010,0000550995,00201010
0000100705,00201010,0000554359,00201010
0000100708,00201010,0000550126,00201010
0000100711,00201010,0000500039,00201010
0000100714,00201010,0000550995,00201010
0000100715,00201010,0000550995,00201010
0000100716,00201010,0000554359,00201010
0000100717,00201010,0000550995,00201010
0000100718,00201010,0000555002,00201010
0000100719,00201010,0000550995,00201010
0000100720,00201010,0000550126,00201010
0000100722,00201010,0000550995,00201010
0000100723,00201010,0000550995,00201010
0000100724,00201010,0000550995,00201010
0000100726,00201010,0000550995,00201010
0000100727,00201010,0000550995,00201010
0000100728,00201010,0000554359,00201010
0000100730,00201010,0000558265,00201010
0000100737,00201010,0000550126,00201010
0000100738,00201010,0000550126,00201010
0000100739,00201010,0000550126,00201010
0000100740,00201010,0000550126,00201010
0000100741,00201010,0000550995,00201010
0000100742,00201010,0000550995,00201010
0000100743,00201010,0000550126,00201010
0000100744,00201010,0000550126,00201010
0000100745,00201010,0000550126,00201010
0000100746,00201010,0000550126,00201010
0000100747,00201010,0000550126,00201010
0000100748,00201010,0000550995,00201010
0000100749,00201010,0000550995,00201010
0000100750,00201010,0000550126,00201010
0000100751,00201010,0000550995,00201010
0000100752,00201010,0000550995,00201010
0000100753,00201010,0000500039,00201010
0000100754,00201010,0000558613,00201010
0000100755,00201010,0000556021,00201010
0000100756,00201010,0000566888,00201010
0000100759,00201010,0000550999,00201010
0000100766,00201010,0000550608,00201010
0000100767,00201010,0000550608,00201010
0000100769,00201010,0000500305,00201010
0000100770,00201010,0000500040,00201010
0000100772,00201010,0000555002,00201010
0000100778,00201010,0000500041,00201010
0000100779,00201010,0000500041,00201010
0000100782,00201010,0000578320,00201010
0000100783,00201010,0000550995,00201010
0000100784,00201010,0000501135,00201010
0000100785,00201010,0000550612,00201010
0000100786,00201010,0000550612,00201010
0000100787,00201010,0000550285,00201010
0000100789,00201010,0000572551,00201010
0000100791,00201010,0000550995,00201010
0000100792,00201010,0000550995,00201010
0000100793,00201010,0000558613,00201010
0000100794,00201010,0000550147,00201010
0000100796,00201010,0000550999,00201010
0000100798,00201010,0000500385,00201010
0000100808,00201010,0000501347,00201010
0000100809,00201010,0000557900,00201010
0000100810,00201010,0000501397,00201010
0000100812,00201010,0000550127,00201010
0000100813,00201010,0000501312,00201010
0000100814,00201010,0000500042,00201010
0000100815,00201010,0000500042,00201010
0000100819,00201010,0000550269,00201010
0000100820,00201010,0000500385,00201010
0000100822,00201010,0000578886,00201010
0000100823,00201010,0000579718,00201010
0000100824,00201010,0000557900,00201010
0000100827,00201010,0000588199,00201010
0000100828,00201010,0000550146,00201010
0000100829,00201010,0000550285,00201010
0000100830,00201010,0000550349,00201010
0000100834,00201010,0000550146,00201010
0000100835,00201010,0000550608,00201010
0000100836,00201010,0000500043,00201010
0000100839,00201010,0000550223,00201010
0000100840,00201010,0000500043,00201010
0000100842,00201010,0000550608,00201010
0000100843,00201010,0000554359,00201010
0000100844,00201010,0000588199,00201010
0000100846,00201010,0000581526,00201010
